,Course_Num,Description
0,FRAN 305,Communication Orale
1,GEOL 210,Introduction To The Earth
2,MAST 217,Intro/Mathematical Thinking
3,MAST 219,Multivariable Calculus Ii
4,MECH 211,Mechanical Engr. Drawing
5,GEOL 208,"The Earth, Moon And Planets"
6,MATH 252,Linear Algebra Ii
7,MATH 365,Analysis Ii
8,STAT 249,Probability I
9,MATH 366,Complex Analysis I
10,MATH 369,Abstract Algebra I
11,MATH 392,Elementary Number Theory
12,MATH 475,Discrete Dynamical Systems
14,MATH 252,Linear Algebra Ii
15,MATH 467,Measure Theory
16,MATH 470,Abstract Algebra Ii
17,MATH 494,Set Theory
19,MATH 354,Numerical Analysis
20,MATH 370,Ordinary Differential Equat.
21,MATH 464,Real Analysis
22,MATH 494,Algebraic Number Theory
24,MATH 457,Honours Algebra 4
26,MATH 494,Random Matrices
